numSearches,avgCounts,maxCounts,maxDepth,avgMaxs,max,maxBoard,wins0,wins1,wins2,wins3,bestMove,board00,board01,board02,board03,board10,board11,board12,board13,board20,board21,board22,board23,board30,board31,board32,board33
296,53.91,155,8,174.11,256,128,0.7, 0.26, 0.05, 0,right,0, 0, 0, 2, 0, 0, 2, 8, 0, 0, 32, 128, 4, 8, 8, 64
288,53.09,213,7,174.95,512,128,0, 0.41, 0.59, 0,up,0, 0, 0, 2, 0, 0, 2, 8, 0, 2, 32, 128, 0, 4, 16, 64
290,57.57,170,10,182.54,256,128,0.8, 0.14, 0, 0.06,right,2, 2, 2, 2, 0, 4, 32, 8, 0, 0, 16, 128, 0, 0, 0, 64
277,73.69,186,11,233.9,256,128,0.97, 0.01, 0.01, 0.01,right,0, 0, 4, 4, 0, 4, 32, 8, 0, 0, 16, 128, 0, 2, 0, 64
228,56.55,169,9,181.66,256,128,0.08, 0.06, 0.12, 0.74,down,2, 0, 0, 8, 0, 4, 32, 8, 0, 0, 16, 128, 0, 0, 2, 64
280,75.62,163,12,233.22,256,128,0.01, 0.02, 0.03, 0.95,down,0, 0, 0, 0, 2, 0, 32, 16, 0, 0, 16, 128, 2, 4, 2, 64
223,60.5,151,9,200.57,256,128,0.15, 0.03, 0.1, 0.72,down,2, 0, 0, 0, 0, 0, 32, 16, 0, 0, 16, 128, 4, 4, 2, 64
268,65.78,164,10,209.37,256,128,0.16, 0.12, 0.12, 0.59,down,0, 0, 0, 0, 0, 2, 32, 16, 2, 0, 16, 128, 4, 4, 2, 64
252,68.97,188,11,223.62,512,128,0.05, 0.84, 0.07, 0.03,left,0, 2, 0, 0, 0, 0, 32, 16, 2, 2, 16, 128, 4, 4, 2, 64
243,74.37,225,9,249.7,512,128,0.01, 0.02, 0.06, 0.91,down,2, 0, 2, 0, 32, 16, 0, 0, 4, 16, 128, 0, 8, 2, 64, 0
226,74.7,163,10,244.72,256,128,0.02, 0.97, 0.01, 0,left,2, 0, 0, 0, 32, 0, 2, 0, 4, 32, 128, 2, 8, 2, 64, 0
225,72.28,143,10,245.24,256,128,0.02, 0, 0.95, 0.03,up,2, 2, 0, 0, 32, 2, 0, 0, 4, 32, 128, 2, 8, 2, 64, 0
233,74.92,171,8,252.72,512,128,0.77, 0.22, 0, 0.02,right,2, 4, 128, 2, 32, 32, 64, 0, 4, 2, 2, 0, 8, 0, 0, 0
225,72.52,158,8,253.73,256,128,0.15, 0.02, 0.83, 0,up,2, 4, 128, 2, 0, 0, 64, 64, 0, 0, 4, 4, 2, 0, 0, 8
232,76.72,200,7,255.45,512,128,0.76, 0.1, 0.12, 0.01,right,4, 4, 128, 2, 0, 0, 64, 64, 0, 0, 4, 4, 0, 2, 0, 8
219,73.9,245,6,254.25,512,128,0.07, 0.11, 0.2, 0.62,down,0, 8, 128, 2, 2, 0, 0, 128, 0, 0, 0, 8, 0, 0, 2, 8
228,75.18,157,6,256,256,256,0.31, 0.28, 0.31, 0.11,right,0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 128, 128, 2, 8, 2, 16
224,73.47,171,7,257.14,512,256,0.12, 0.06, 0.64, 0.18,up,0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 256, 2, 8, 2, 16
229,73.09,148,7,256,256,256,0.3, 0.58, 0.08, 0.04,left,2, 8, 4, 4, 0, 0, 0, 256, 0, 0, 2, 16, 0, 0, 0, 0
230,70.35,141,6,256,256,256,0.45, 0.34, 0, 0.21,right,2, 8, 8, 0, 256, 2, 0, 0, 2, 16, 0, 0, 0, 0, 0, 0
238,71.33,229,6,257.07,512,256,0, 0.41, 0.36, 0.22,left,0, 0, 2, 16, 0, 2, 256, 2, 0, 0, 2, 16, 0, 0, 0, 0
235,66.31,156,6,256,256,256,0.16, 0.13, 0.16, 0.55,down,2, 16, 0, 0, 2, 256, 2, 2, 2, 16, 0, 0, 0, 0, 0, 0
